Restaurant ID,Restaurant Name,Country Code,Avg. daily orders,City,Country,Address,Locality,Locality Verbose, Longitude , Latitude ,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Percentage online orders,Desserts,Café Flag,Alcohol,Price range,Q1,Q2,Q3,Q4,Aggregate,Votes
6317637,Le Petit Souffle,162,45,Makati City,Philippines,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City",121.03,14.57,"French, Japanese, Desserts",1100,Botswana Pula(P),Yes,No,,1,,,3,4.9,4.9,4.7,4.7,4.8,314
6304287,Izakaya Kikufuji,162,42,Makati City,Philippines,"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City","Little Tokyo, Legaspi Village, Makati City, Makati City",121.01,14.55,Japanese,1200,Botswana Pula(P),Yes,No,,,,1,3,4.6,4.1,4.6,4.7,4.5,591
6300002,Heat - Edsa Shangri-La,162,26,Mandaluyong City,Philippines,"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City",121.06,14.58,"Seafood, Asian, Filipino, Indian",4000,Botswana Pula(P),Yes,No,,,,,4,4.2,4.2,4.5,4.7,4.4,270
6318506,Ooma,162,40,Mandaluyong City,Philippines,"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.06,14.59,"Japanese, Sushi",1500,Botswana Pula(P),No,No,,,,,4,4.9,4.9,4.8,5,4.9,365
6314302,Sambo Kojin,162,45,Mandaluyong City,Philippines,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.06,14.58,"Japanese, Korean",1500,Botswana Pula(P),Yes,No,,,,,4,4.9,4.6,4.8,4.9,4.8,229
18189371,Din Tai Fung,162,34,Mandaluyong City,Philippines,"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.06,14.58,Chinese,1000,Botswana Pula(P),No,No,,,,1,3,4.3,4.3,4.1,4.9,4.4,336
6300781,Buffet 101,162,43,Pasay City,Philippines,"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.98,14.53,"Asian, European",2000,Botswana Pula(P),Yes,No,,,,,4,4.1,3.5,3.8,4.6,4,520
6301290,Vikings,162,29,Pasay City,Philippines,"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City",120.98,14.54,"Seafood, Filipino, Asian, European",2000,Botswana Pula(P),Yes,No,,,,1,4,4.3,4.4,3.7,4.4,4.2,677
6300010,Spiral - Sofitel Philippine Plaza Manila,162,36,Pasay City,Philippines,"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City","Sofitel Philippine Plaza Manila, Pasay City","Sofitel Philippine Plaza Manila, Pasay City, Pasay City",120.98,14.55,"European, Asian, Indian",6000,Botswana Pula(P),Yes,No,,,,1,4,5,4.8,4.9,4.9,4.9,621
6314987,Locavore,162,33,Pasig City,Philippines,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.06,14.57,Filipino,1100,Botswana Pula(P),Yes,No,,,,,3,4.9,4.8,4.7,4.8,4.8,532
